shipment_id,product_id,supplier_id,quantity_received,shipment_date
930,174,40,85,2025-03-28
931,35,38,387,2024-05-28
932,189,38,45,2025-05-05
933,69,6,38,2024-06-02
934,178,4,471,2025-01-26
935,195,16,486,2025-05-05
936,152,10,218,2024-09-05
937,35,38,260,2024-06-20
938,129,43,470,2025-05-08
939,11,15,388,2024-10-03
940,38,25,22,2025-01-31
941,2,42,334,2025-03-28
942,138,41,292,2024-11-17
943,73,37,433,2024-09-18
944,196,30,294,2025-05-11
945,141,38,226,2025-01-27
946,9,48,132,2024-07-01
947,93,13,242,2025-04-12
948,7,44,458,2024-12-06
949,106,15,43,2025-03-29
950,150,5,36,2024-11-23
951,57,38,346,2024-10-02
952,176,47,112,2025-02-10
953,24,40,254,2024-10-02
954,183,45,183,2025-03-13
955,123,49,295,2024-10-19
956,12,19,421,2024-10-02
957,116,26,433,2024-10-14
958,50,7,146,2025-01-05
959,107,31,32,2025-03-12
960,154,48,174,2024-09-16
961,192,28,15,2025-01-06
962,176,47,306,2025-03-23
963,69,6,59,2024-10-06
964,132,26,228,2024-08-07
965,166,17,350,2024-10-11
966,30,10,449,2025-03-02
967,7,44,330,2024-08-05
968,115,31,69,2024-06-07
969,169,32,434,2025-01-12
970,45,23,350,2024-07-13
971,5,5,324,2024-07-01
972,108,26,88,2024-05-29
973,62,47,111,2024-12-20
974,19,26,191,2025-02-13
975,72,46,373,2024-10-17
976,108,26,473,2025-05-16
977,101,42,85,2025-04-28
978,16,34,192,2025-01-01
979,106,15,31,2025-02-04
980,152,10,322,2024-12-06
981,135,16,191,2024-11-12
982,19,26,289,2025-03-31
983,15,37,425,2025-02-20
984,148,46,484,2024-07-09
985,83,31,388,2024-11-27
986,113,17,52,2025-01-09
987,187,26,120,2024-06-08
988,55,39,465,2024-12-25
989,37,25,39,2025-04-09
990,30,10,407,2024-08-23
991,101,42,149,2025-03-15
992,133,26,294,2024-09-07
993,49,20,160,2025-01-25
994,129,43,182,2024-12-22
995,10,40,402,2024-06-29
996,35,38,394,2024-10-12
997,81,42,314,2024-06-25
998,32,6,296,2025-01-26
999,127,2,497,2024-05-25
1000,114,9,354,2025-01-18
